M,N,K,torch,triton
256.000000,256.000000,256.000000,6.928916,5.761406
384.000000,384.000000,384.000000,20.416985,17.235118
512.000000,512.000000,512.000000,43.842899,36.792139
640.000000,640.000000,640.000000,64.503939,64.167101
768.000000,768.000000,768.000000,119.626277,98.991439
896.000000,896.000000,896.000000,168.170934,145.651282
1024.000000,1024.000000,1024.000000,233.557535,200.924753
1152.000000,1152.000000,1152.000000,250.572088,253.676519
1280.000000,1280.000000,1280.000000,358.773735,300.623865
1408.000000,1408.000000,1408.000000,383.702703,353.628719
1536.000000,1536.000000,1536.000000,433.340096,426.807313
1664.000000,1664.000000,1664.000000,508.772408,479.941982
1792.000000,1792.000000,1792.000000,600.770975,533.095198
1920.000000,1920.000000,1920.000000,623.639125,587.214165
